@relation test

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {Joggen,Spazieren}

@data
'2011-07-05 10:04:14.833',-128,127,123,Joggen
'2011-07-05 10:04:14.873',22,-128,123,Joggen
'2011-07-05 10:04:14.913',-115,68,8,Joggen
'2011-07-05 10:04:14.953',-108,30,26,Joggen
'2011-07-05 10:04:14.993',-128,13,0,Joggen
'2011-07-05 10:04:15.033',-128,-26,-45,Joggen
'2011-07-05 10:04:15.073',-104,-60,-84,Joggen
'2011-07-05 10:04:15.113',-117,-128,-86,Joggen
'2011-07-05 10:04:15.153',-127,-65,-81,Joggen
'2011-07-05 10:04:15.193',-111,-61,-82,Joggen
'2011-07-05 10:04:15.233',-105,-47,-77,Joggen
'2011-07-05 10:04:15.273',-30,-28,-19,Joggen
'2011-07-05 10:04:15.313',0,-24,-27,Joggen
'2011-07-05 10:04:15.353',-34,-12,-31,Joggen
'2011-07-05 10:04:15.393',-89,-4,-55,Joggen
'2011-07-05 10:04:15.433',-128,-18,27,Joggen
'2011-07-05 10:04:15.473',-128,30,91,Joggen
'2011-07-05 10:04:15.513',-128,125,123,Joggen
'2011-07-05 10:04:15.553',-94,127,123,Joggen
'2011-07-05 10:04:15.593',-95,36,15,Joggen
'2011-07-05 10:04:15.633',-38,42,37,Joggen
'2011-07-05 10:04:15.673',-96,50,-22,Joggen
'2011-07-05 10:04:15.713',-85,37,0,Joggen
'2011-07-05 10:04:15.753',-119,22,13,Joggen
'2011-07-05 10:04:15.793',-128,-19,-34,Joggen
'2011-07-05 10:04:15.833',-128,-63,-85,Joggen
'2011-07-05 10:04:15.873',-43,0,-23,Joggen
'2011-07-05 10:04:15.913',-128,-92,-86,Joggen
'2011-07-05 10:04:15.953',-120,-52,-86,Joggen
'2011-07-05 10:04:15.993',-111,-42,-75,Joggen
'2011-07-05 10:04:16.033',-47,-45,-75,Joggen
'2011-07-05 10:04:16.073',14,-30,-26,Joggen
'2011-07-05 10:04:16.113',-41,-22,-27,Joggen
'2011-07-05 10:04:16.153',-115,-1,-50,Joggen
'2011-07-05 10:04:16.193',-128,0,44,Joggen
'2011-07-05 10:04:16.233',-128,58,97,Joggen
'2011-07-05 10:04:16.273',-128,127,123,Joggen
'2011-07-05 10:04:16.313',-92,127,122,Joggen
'2011-07-05 10:04:16.353',-89,55,-17,Joggen
'2011-07-05 10:04:16.393',12,-37,87,Joggen
'2011-07-05 10:04:16.433',-98,36,3,Joggen
'2011-07-05 10:04:16.473',-92,38,-6,Joggen
'2011-07-05 10:04:16.513',-128,-9,7,Joggen
'2011-07-05 10:04:16.553',-128,-30,-37,Joggen
'2011-07-05 10:04:16.593',-128,-63,-81,Joggen
'2011-07-05 10:04:16.633',-96,-33,37,Joggen
'2011-07-05 10:04:16.673',-128,-80,-98,Joggen
'2011-07-05 10:04:16.713',-79,-62,-90,Joggen
'2011-07-05 10:04:16.753',-103,-51,-86,Joggen
'2011-07-05 10:04:16.793',-55,-38,-87,Joggen
'2011-07-05 10:04:16.833',-6,-18,-33,Joggen
'2011-07-05 10:04:16.873',-54,-2,-25,Joggen
'2011-07-05 10:04:16.913',-105,-2,-39,Joggen
'2011-07-05 10:04:16.953',-128,1,56,Joggen
'2011-07-05 10:04:16.993',-128,71,106,Joggen
'2011-07-05 10:04:17.033',-128,127,123,Joggen
'2011-07-05 10:04:17.073',-92,121,103,Joggen
'2011-07-05 10:04:17.113',-113,53,15,Joggen
'2011-07-05 10:04:17.153',-22,48,89,Joggen
'2011-07-05 10:04:17.193',-80,52,22,Joggen
'2011-07-05 10:04:17.233',-89,30,18,Joggen
'2011-07-05 10:04:17.273',-128,1,27,Joggen
'2011-07-05 10:04:17.313',-128,-43,-39,Joggen
'2011-07-05 10:04:17.353',-124,-50,-76,Joggen
'2011-07-05 10:04:17.393',-128,-120,-90,Joggen
'2011-07-05 10:04:17.433',-128,-59,-100,Joggen
'2011-07-05 10:04:17.473',-117,-61,-95,Joggen
'2011-07-05 10:04:17.513',-105,-46,-104,Joggen
'2011-07-05 10:04:17.553',-40,-19,-74,Joggen
'2011-07-05 10:04:17.593',-8,-2,-40,Joggen
'2011-07-05 10:04:17.633',-58,-2,-45,Joggen
'2011-07-05 10:04:17.673',-118,2,-64,Joggen
'2011-07-05 10:04:17.713',-128,36,67,Joggen
'2011-07-05 10:04:17.753',-128,98,114,Joggen
'2011-07-05 10:04:17.793',-120,127,123,Joggen
'2011-07-05 10:04:17.833',-105,99,86,Joggen
'2011-07-05 10:04:17.873',-54,29,-21,Joggen
'2011-07-05 10:04:17.913',-128,18,-28,Joggen
'2011-07-05 10:04:17.953',-65,22,-9,Joggen
'2011-07-05 10:04:17.993',-114,20,27,Joggen
'2011-07-05 10:04:18.033',-128,-22,-12,Joggen
'2011-07-05 10:04:18.073',-128,-58,-68,Joggen
'2011-07-05 10:04:18.113',-65,-68,12,Joggen
'2011-07-05 10:04:18.153',-128,-81,-77,Joggen
'2011-07-05 10:04:18.193',-116,-77,-118,Joggen
'2011-07-05 10:04:18.233',-114,-59,-105,Joggen
'2011-07-05 10:04:18.313',-7,-3,-56,Joggen
'2011-07-05 10:04:18.353',-77,-1,-72,Joggen
'2011-07-05 10:04:18.393',-128,31,-68,Joggen
'2011-07-05 10:04:18.433',-128,16,55,Joggen
'2011-07-05 10:04:18.473',-128,125,123,Joggen
'2011-07-05 10:04:18.513',-128,123,123,Joggen
'2011-07-05 10:04:18.553',-92,127,123,Joggen
'2011-07-05 10:04:18.593',-97,34,6,Joggen
'2011-07-05 10:04:18.633',127,127,-128,Joggen
'2011-07-05 10:04:18.673',-82,21,-62,Joggen
'2011-07-05 10:04:18.713',-87,27,9,Joggen
'2011-07-05 10:04:18.753',-121,22,30,Joggen
'2011-07-05 10:04:18.793',-128,-31,-8,Joggen
'2011-07-05 10:04:18.833',-128,-81,-62,Joggen
'2011-07-05 10:04:18.873',-33,26,-22,Joggen
'2011-07-05 10:04:18.913',-128,-82,-102,Joggen
'2011-07-05 10:04:18.953',-100,-56,-80,Joggen
'2011-07-05 10:04:18.993',-108,-48,-81,Joggen
'2011-07-05 10:04:19.033',-51,-41,-97,Joggen
'2011-07-05 10:04:19.073',0,-35,-39,Joggen
'2011-07-05 10:04:19.113',-46,-18,-38,Joggen
'2011-07-05 10:04:19.153',-105,2,-62,Joggen
'2011-07-05 10:04:19.193',-128,12,34,Joggen
'2011-07-05 10:04:19.233',-128,76,96,Joggen
