@relation test

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric

@data
'2010-06-26 01:04:50.68',-122,-89,42
'2010-06-26 01:04:50.72',-128,-78,-82
'2010-06-26 01:04:50.76',-84,-59,-102
'2010-06-26 01:04:50.8',-102,-52,-98
'2010-06-26 01:04:50.84',-57,-35,-77
'2010-06-26 01:04:50.88',-14,-8,-26
'2010-06-26 01:04:50.92',-58,-4,-38
'2010-06-26 01:04:50.96',-119,12,-52
'2010-06-26 01:04:51.0',-128,13,33
'2010-06-26 01:04:51.04',-128,78,99
'2010-06-26 01:04:51.08',-128,127,123
'2010-06-26 01:04:51.12',-94,124,101
'2010-06-26 01:04:51.16',-112,63,23
'2010-06-26 01:04:51.2',-30,54,121
'2010-06-26 01:04:51.24',-84,72,29
'2010-06-26 01:04:51.28',-93,30,18
'2010-06-26 01:04:51.32',-128,-3,17
'2010-06-26 01:04:51.36',-128,-67,-68
'2010-06-26 01:04:51.4',-87,-64,-57
'2010-06-26 01:04:51.44',-128,-128,-118
'2010-06-26 01:04:51.48',-128,-85,-108
'2010-06-26 01:04:51.52',-86,-46,-87
'2010-06-26 01:04:51.56',-95,-48,-91
'2010-06-26 01:04:51.6',-36,-29,-68
'2010-06-26 01:04:51.64',-24,11,-42
'2010-06-26 01:04:51.68',-95,-2,-46
'2010-06-26 01:04:51.72',-120,16,-45
'2010-06-26 01:04:51.76',-128,24,37
'2010-06-26 01:04:51.8',-128,118,123
'2010-06-26 01:04:51.84',-113,127,123
'2010-06-26 01:04:51.88',-72,99,61
'2010-06-26 01:04:51.92',106,-128,47
'2010-06-26 01:04:51.96',-76,26,83
'2010-06-26 01:04:52.0',-118,51,30
'2010-06-26 01:04:52.04',-128,-1,14
'2010-06-26 01:04:52.08',-128,-30,-15
'2010-06-26 01:04:52.12',-128,-85,-66
'2010-06-26 01:04:52.16',-83,-33,66
'2010-06-26 01:04:52.2',-128,-91,-73
'2010-06-26 01:04:52.24',-109,-67,-97
'2010-06-26 01:04:52.28',-114,-60,-89
'2010-06-26 01:04:52.32',-64,-32,-96
'2010-06-26 01:04:52.36',-2,-24,-28
'2010-06-26 01:04:52.4',-53,-6,-43
'2010-06-26 01:04:52.44',-128,90,123
'2010-06-26 01:04:52.48',-128,127,123
'2010-06-26 01:04:52.52',-112,127,123
'2010-06-26 01:04:52.56',-105,112,84
'2010-06-26 01:04:52.6',-105,27,20
'2010-06-26 01:04:52.64',-112,54,80
'2010-06-26 01:04:52.68',-70,4,-7
'2010-06-26 01:04:52.72',-111,25,26
'2010-06-26 01:04:52.76',-128,-28,0
'2010-06-26 01:04:52.8',-128,-90,-70
'2010-06-26 01:04:52.84',-30,18,-18
'2010-06-26 01:04:52.88',-128,-98,-92
'2010-06-26 01:04:52.92',-110,-60,-103
'2010-06-26 01:04:52.96',-104,-65,-90
'2010-06-26 01:04:53.0',-74,-49,-97
'2010-06-26 01:04:53.04',12,-36,-16
'2010-06-26 01:04:53.08',-36,-4,-43
'2010-06-26 01:04:53.12',-104,-10,-54
'2010-06-26 01:04:53.16',-128,-8,13
'2010-06-26 01:04:53.2',-128,127,123
'2010-06-26 01:04:53.24',-128,127,123
'2010-06-26 01:04:53.28',-99,127,123
